,Date,max,min,mean,sum
4719,2012-07-07,30647031.461205393,1594.7216416998394,2412391.4240223872,96495656.9608955
4720,2012-07-08,23146840.53253108,1427.6062137719116,1785137.105779908,71405484.23119631
4721,2012-07-09,9789128.194544837,637.3704693065158,838367.8513757025,31857978.352276698
4722,2012-07-10,11182031.399918813,774.6901232627978,970929.0452279084,36895303.71866052
4723,2012-07-11,8424795.250004366,781.1674654305468,794217.605334833,30180269.002723657
4724,2012-07-12,7978295.213291781,778.5765285634471,780221.308434105,30428631.028930094
4725,2012-07-13,21671037.711157378,7021.438909840073,1806790.17439855,66851236.452746354
4726,2012-07-14,21978207.526904814,7355.669765695929,2169732.1820332273,80280090.73522942
4727,2012-07-15,16757487.876257071,4921.4845790558,1647619.7843482625,60961932.02088571
4728,2012-07-16,6819186.4915889725,2256.706011243802,744305.2442743408,26050683.549601927
4729,2012-07-17,8814789.544582374,2190.637121132761,931244.6334267408,32593562.169935927
4730,2012-07-18,6614058.133415392,1887.4975076821008,727807.1206526293,25473249.222842027
4731,2012-07-19,5985465.758214611,2359.0480174942386,642519.8823031088,22488195.88060881
4732,2012-07-20,98138077.75031863,7540.921751693554,3620912.8511856124,126731949.79149644
4733,2012-07-21,58207943.61033417,10149.995176862909,2636289.847463036,92270144.66120626
4734,2012-07-22,52078390.67106642,9397.32801697046,2207948.428796903,77278195.00789161
4735,2012-07-23,25118004.573525563,4272.454893847335,1182128.0217487202,37828096.69595905
4736,2012-07-24,23010721.777812697,4636.481523674837,1220364.7441662685,39051671.81332059
4737,2012-07-25,17838719.51307703,4439.570321775264,917256.6991712908,30269471.072652597
4738,2012-07-26,17103254.87851369,5193.532950101265,935127.6076988723,30859211.054062787
4739,2012-07-27,22974543.23086895,6846.550671310845,1538500.7883146056,52309026.80269659
